order_id,order_date,customer_id,customer_name,segment,country,region,category,sub_category,revenue,quantity,profit,profit_margins,product_name
CA-2013-152156,9/11/2013,CG-12520,Claire Gute,Consumer,United States,South,Furniture,Bookcases,261.96,2,41.9136,0.16,Bush Somerset Collection Bookcase
CA-2013-152156,9/11/2013,CG-12520,Claire Gute,Consumer,United States,South,Furniture,Chairs,731.94,3,219.582,0.3,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
CA-2013-138688,13/06/2013,DV-13045,Darrin Van Huff,Corporate,United States,West,Office Supplies,Labels,14.62,2,6.8714,0.47,Self-Adhesive Address Labels for Typewriters by Universal
US-2012-108966,11/10/2012,SO-20335,Sean O'Donnell,Consumer,United States,South,Furniture,Tables,957.5775,5,-383.031,-0.4,Bretford CR4500 Series Slim Rectangular Table
US-2012-108966,11/10/2012,SO-20335,Sean O'Donnell,Consumer,United States,South,Office Supplies,Storage,22.368,2,2.5164,0.11,Eldon Fold 'N Roll Cart System
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Furniture,Furnishings,48.86,7,14.1694,0.29,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Office Supplies,Art,7.28,4,1.9656,0.27,Newell 322
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Technology,Phones,907.152,6,90.7152,0.1,Mitel 5320 IP Phone VoIP phone
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Office Supplies,Binders,18.504,3,5.7825,0.31,DXL Angle-View Binders with Locking Rings by Samsill
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Office Supplies,Appliances,114.9,5,34.47,0.3,Belkin F5C206VTEL 6 Outlet Surge
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Furniture,Tables,1706.184,9,85.3092,0.05,Chromcraft Rectangular Conference Tables
CA-2011-115812,9/06/2011,BH-11710,Brosina Hoffman,Consumer,United States,West,Technology,Phones,911.424,4,68.3568,0.08,Konftel 250 ConferenceÂ phoneÂ - Charcoal black
CA-2014-114412,16/04/2014,AA-10480,Andrew Allen,Consumer,United States,South,Office Supplies,Paper,15.552,3,5.4432,0.35,Xerox 1967
CA-2013-161389,6/12/2013,IM-15070,Irene Maddox,Consumer,United States,West,Office Supplies,Binders,407.976,3,132.5922,0.33,Fellowes PB200 Plastic Comb Binding Machine
US-2012-118983,22/11/2012,HP-14815,Harold Pawlan,Home Office,United States,Central,Office Supplies,Appliances,68.81,5,-123.858,-1.8,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
